CustomerId,Recency,Frequency,Monetary
CustomerId_1,-6,1,10000
CustomerId_10,-6,1,10000
CustomerId_1001,-1,5,30400
CustomerId_1002,-64,11,4775
CustomerId_1003,-78,6,32000
CustomerId_1004,-37,1,2000
CustomerId_1005,-43,9,61200
CustomerId_1006,-26,1,1000
CustomerId_1007,-9,1,28000
CustomerId_1008,-24,2,20000
CustomerId_1009,-63,1,500
CustomerId_1010,-48,7,31975
CustomerId_1012,-85,74,132894
CustomerId_1014,-40,8,763880
CustomerId_1016,-85,5,32000
CustomerId_1020,-64,203,298605
CustomerId_1021,-12,1,5000
CustomerId_1022,-55,1,7000
CustomerId_1025,-78,16,19800
CustomerId_1027,-89,14,27230
CustomerId_1028,-65,1,500
CustomerId_1029,-82,9,75000
CustomerId_1030,-60,8,4650
CustomerId_1031,-75,50,145322
CustomerId_1032,-57,2,2000
CustomerId_1033,-24,2,1050
CustomerId_1034,-81,16,63752
CustomerId_1036,0,3,2050
CustomerId_1038,-78,5,31000
CustomerId_1039,-78,30,278257
CustomerId_1040,-53,1,50000
CustomerId_1043,-43,6,36000
CustomerId_1044,-42,16,24268
CustomerId_1048,-48,1,1000
CustomerId_1050,-36,1,5000
CustomerId_1052,-67,7,59100
CustomerId_1053,-1,7,13812
CustomerId_1054,-85,52,164700
CustomerId_1055,-8,5,6150
CustomerId_1056,-35,4,5500
CustomerId_1057,0,2,6246
CustomerId_1058,-85,29,15809
CustomerId_1059,-78,9,62000
CustomerId_1063,-88,12,15675
CustomerId_1064,-84,42,256230
CustomerId_1068,-37,1,500
CustomerId_1070,-64,1,5000
CustomerId_1071,-88,7,241710
CustomerId_1073,-18,1,1000
CustomerId_1074,-85,46,268700
CustomerId_1078,-43,6,41000
CustomerId_1079,-45,1,20000
CustomerId_1080,-60,1,5000
CustomerId_1081,-76,2,1500
CustomerId_1082,-43,5,31000
CustomerId_1083,-58,1,500
CustomerId_1084,-19,1,10000
CustomerId_1085,-32,4,5100
CustomerId_1086,-86,32,79354
CustomerId_1087,-57,9,62000
CustomerId_1089,-53,152,175729
CustomerId_1091,-65,2,3000
CustomerId_1092,-71,16,97000
CustomerId_1093,-57,55,81340
CustomerId_1094,-65,7,46190
CustomerId_1095,-79,11,7125
CustomerId_1096,-84,784,2041334
CustomerId_1098,-87,1,20000
CustomerId_1099,-66,9,8220
CustomerId_11,-6,1,10000
CustomerId_1101,-38,9,60000
CustomerId_1102,-85,14,92000
CustomerId_1103,-42,1,30000
CustomerId_1104,-86,10,84400
CustomerId_1105,-63,1,500
CustomerId_1106,-3,1,10000
CustomerId_1108,-88,14,112000
CustomerId_1109,-43,8,52200
CustomerId_1111,-21,3,2020
CustomerId_1112,-78,6,32000
CustomerId_1113,-25,23,42300
CustomerId_1114,-90,57,59075
CustomerId_1116,-86,8,8040
CustomerId_1117,-17,1,4000
CustomerId_1118,-90,24,142000
CustomerId_1119,-64,7,5550
CustomerId_1120,-28,2,2040
CustomerId_1121,-74,7,14781
CustomerId_1122,-26,1,1850000
CustomerId_1123,-44,1,1000
CustomerId_1124,-57,6,41000
CustomerId_1125,-59,1,5000
CustomerId_1127,-85,37,95465
CustomerId_1129,-16,2,1000
CustomerId_1130,-12,4,6040
CustomerId_1131,-89,11,20170
CustomerId_1134,-89,9,3620
CustomerId_1135,-66,14,75000
CustomerId_1137,-36,20,161400
CustomerId_1140,-45,3,6250
CustomerId_1141,-81,49,227335
CustomerId_1145,-51,4,9500
CustomerId_1146,-43,6,41000
CustomerId_1147,-78,18,112000
CustomerId_1150,-16,2,2000
CustomerId_1153,-32,1,3000
CustomerId_1154,-89,9,5725
CustomerId_1156,-88,368,1683725
CustomerId_1158,-1,8,51400
CustomerId_1159,-85,5,32000
CustomerId_1160,-90,15,102000
CustomerId_1161,-65,1,2500
CustomerId_1162,-85,7,6735
CustomerId_1163,-90,14,102000
CustomerId_1164,-22,6,41000
CustomerId_1165,-55,5,66000
CustomerId_1169,-86,3,2050
CustomerId_1170,-81,18,159334
CustomerId_1171,-46,6,7075
CustomerId_1172,-76,84,248611
CustomerId_1174,0,1,1000
CustomerId_1175,-89,241,9072498
CustomerId_1177,-86,4,28878
CustomerId_1179,-69,3,3100
CustomerId_1180,-78,67,154554
CustomerId_1182,-85,4,22000
CustomerId_1183,-70,18,66965
CustomerId_1184,-16,1,1000
CustomerId_1186,-13,4,8100
CustomerId_1187,-36,7,61000
CustomerId_1189,-53,2,3000
CustomerId_1190,-78,15,112000
CustomerId_1191,-85,6,32500
CustomerId_1192,-86,22,43635
CustomerId_1193,-36,4,21000
CustomerId_1194,-36,4,21000
CustomerId_1195,-36,6,31000
CustomerId_1196,-43,6,32000
CustomerId_1197,-36,4,21000
CustomerId_1198,-36,4,21000
CustomerId_12,-6,1,10000
CustomerId_1200,-43,4,21000
CustomerId_1201,-88,173,752354
CustomerId_1202,-89,29,202000
CustomerId_1203,-89,45,50270
CustomerId_1204,-43,4,21000
CustomerId_1208,-5,9,20230
CustomerId_1209,-71,6,42000
CustomerId_1210,-13,3,50455
CustomerId_1211,-6,2,200000
CustomerId_1212,-40,17,43000
CustomerId_1214,-84,44,108175
CustomerId_1215,-16,1,1000
CustomerId_1217,-43,9,52000
CustomerId_1218,-89,72,141945
CustomerId_1219,-64,6,4150
CustomerId_1220,-71,13,62000
CustomerId_1221,-85,5,32000
CustomerId_1222,-80,45,87130
CustomerId_1223,-86,3,21500
CustomerId_1224,-85,1,10000
CustomerId_1225,-81,1,1000
CustomerId_1226,-47,8,13300
CustomerId_1227,-76,26,86427
CustomerId_1228,-78,5,32000
CustomerId_1229,-74,3,2050
CustomerId_1231,-54,1,2000
CustomerId_1232,-75,1,5000
CustomerId_1233,-62,1,1000
CustomerId_1234,-36,12,81400
CustomerId_1235,-43,6,31000
CustomerId_1236,-46,8,11235
CustomerId_1237,-62,1,1000
CustomerId_1238,-85,5,32000
CustomerId_1240,-45,6,46000
CustomerId_1241,-64,7,42000
CustomerId_1242,-85,152,1203810
CustomerId_1244,-3,1,5000
CustomerId_1245,-85,29,199250
CustomerId_1246,-64,19,121000
CustomerId_1247,-89,13,112000
CustomerId_1250,-86,273,699514
CustomerId_1252,-78,19,122000
CustomerId_1253,-78,5,32000
CustomerId_1256,-57,6,42000
CustomerId_1257,-78,12,17395
CustomerId_1258,-78,7,42000
CustomerId_1259,-21,16,17787
CustomerId_1260,-85,9,62000
CustomerId_1262,-64,9,10160
CustomerId_1263,-36,5,31000
CustomerId_1265,-68,97,278900
CustomerId_1266,-74,20,10120
CustomerId_1267,-65,3,2020
CustomerId_1268,-74,1,1000000
CustomerId_1269,-15,3,10000
CustomerId_1270,-80,33,56046
CustomerId_1271,-72,6,5650
CustomerId_1272,-36,3,4500
CustomerId_1273,-22,6,41000
CustomerId_1274,-47,1,5000
CustomerId_1275,-90,253,752744
CustomerId_1276,-85,86,951000
CustomerId_1277,-88,60,177990
CustomerId_1279,-36,7,51000
CustomerId_1280,-69,44,118447
CustomerId_1281,-85,30,271800
CustomerId_1282,-77,1,10000
CustomerId_1283,-15,19,18095
CustomerId_1285,-14,4,3050
CustomerId_1286,-73,28,81152
CustomerId_1287,-29,7,51000
CustomerId_1288,-88,14,16630
CustomerId_1294,-85,12,71489
CustomerId_1295,-29,15,103850
CustomerId_1296,-38,3,1525
CustomerId_1297,-25,1,5000
CustomerId_1298,-61,20,430020
CustomerId_1299,-61,36,241220
CustomerId_13,-6,1,10000
CustomerId_1300,-71,6,32000
CustomerId_1301,-78,18,132000
CustomerId_1302,-65,18,7742715
CustomerId_1303,-85,21,152000
CustomerId_1304,-70,3,150000
CustomerId_1306,-25,61,65740
CustomerId_1307,-64,17,256350
CustomerId_1308,-56,15,150558
CustomerId_1310,-78,1,10000
CustomerId_1311,-69,33,43430
CustomerId_1312,-71,1,1000
CustomerId_1313,-43,6,41000
CustomerId_1316,-75,2,30000
CustomerId_1317,-80,10,67000
CustomerId_1318,-26,7,7066
CustomerId_1320,-11,2,14000
CustomerId_1321,-27,2,60000
CustomerId_1322,-28,6,5050
CustomerId_1323,-78,15,92000
CustomerId_1324,-85,45,743304
CustomerId_1325,-41,5,41720
CustomerId_1326,-43,3,13000
CustomerId_1328,-68,1,1000
CustomerId_1329,-88,7,44000
CustomerId_1330,-78,7,62000
CustomerId_1331,-71,12,88000
CustomerId_1332,-7,2,3000
CustomerId_1335,-78,113,305442
CustomerId_1338,-13,2,22000
CustomerId_1339,-43,5,31000
CustomerId_1341,-30,11,22440
CustomerId_1343,-39,1,1000
CustomerId_1349,-37,7,8000
CustomerId_1351,-10,15,98900
CustomerId_1353,-68,1,2000000
CustomerId_1355,-32,5,10000
CustomerId_1356,-1,1,5000
CustomerId_1357,-63,1,100
CustomerId_1358,-88,6,4050
CustomerId_1359,-78,9,62000
CustomerId_1360,-24,1,10000
CustomerId_1361,-8,9,11500
CustomerId_1362,-89,20,144000
CustomerId_1363,-36,1,5000
CustomerId_1365,-58,4,21500
CustomerId_1366,-68,5,3100
CustomerId_1367,-85,6,32000
CustomerId_1369,-22,6,41000
CustomerId_1370,-25,7,120900
CustomerId_1372,-71,1,500
CustomerId_1373,-51,1,10000
CustomerId_1375,-75,3,30000
CustomerId_1376,-51,2,220000
CustomerId_1377,-67,3,2020
CustomerId_1378,-89,13,102000
CustomerId_1379,-5,1,1000
CustomerId_1380,-90,20,152000
CustomerId_1381,-28,1,5000
CustomerId_1382,-88,20,15205
CustomerId_1384,-66,3,7000
CustomerId_1385,-72,1,50000
CustomerId_1386,-8,1,1000
CustomerId_1387,-80,36,24774
CustomerId_1389,-34,1,100000
CustomerId_1390,-68,1,500
CustomerId_1392,-40,5,11940
CustomerId_1393,-25,2,10200
CustomerId_1394,-19,1,10000
CustomerId_1395,-85,5,32000
CustomerId_1396,-22,7,40600
CustomerId_1397,-89,10,9200
CustomerId_1398,-83,43,220844
CustomerId_14,-6,1,10000
CustomerId_1400,-41,1,500
CustomerId_1402,-58,6,12040
CustomerId_1404,-85,2,4000
CustomerId_1406,-4,2,510
CustomerId_1407,-78,18,128020
CustomerId_1408,-41,1,1000
CustomerId_1409,-85,24,35601
CustomerId_1410,-85,13,77000
CustomerId_1411,-56,6,7000
CustomerId_1413,-87,140,554801
CustomerId_1414,-85,4,22000
CustomerId_1415,-90,52,62247
CustomerId_1417,-55,2,7000
CustomerId_1418,-66,1,3500
CustomerId_1419,-64,9,45775
CustomerId_1420,-29,10,15640
CustomerId_1421,-76,10,32190
CustomerId_1422,-1,3,14040
CustomerId_1423,-6,14,8640
CustomerId_1424,-71,5,32000
CustomerId_1425,-89,36,63110
CustomerId_1426,-7,1,10000
CustomerId_1427,-36,30,222800
CustomerId_1429,-85,36,223360
CustomerId_1431,-26,1,5000
CustomerId_1432,0,1,2000
CustomerId_1435,-78,29,162200
CustomerId_1436,-36,4,21000
CustomerId_1437,-52,1,20000
CustomerId_1438,-86,32,180695
CustomerId_1439,-36,1,500
CustomerId_1440,-89,4,2460
CustomerId_1441,-33,1,1000
CustomerId_1442,-78,9,62000
CustomerId_1443,-58,2,2000
CustomerId_1444,-32,1,500
CustomerId_1445,-61,1,500
CustomerId_1447,-16,8,12150
CustomerId_1448,-76,3,3500
CustomerId_1449,-75,27,504432
CustomerId_1450,-64,9,63275
CustomerId_1451,-67,18,20850
CustomerId_1452,-60,11,25400
CustomerId_1453,-79,11,22825
CustomerId_1454,-90,14,102000
CustomerId_1455,-13,1,1000
CustomerId_1458,-48,1,500
